Ref,Val,Package,PosX,PosY,Rot,Side
"C203","470n","C_0805_2012Metric",136.300000,-95.100000,0.000000,top
"C204","100n","C_0603_1608Metric",149.850000,-108.300000,0.000000,top
"C207","10u","C_0805_2012Metric",148.500000,-93.500000,180.000000,top
"C301","100n","C_0603_1608Metric",171.500000,-79.600000,-90.000000,top
"C302","100u","CP_Radial_D8.0mm_P5.00mm",165.250000,-77.597349,-90.000000,top
"C303","100n","C_0603_1608Metric",186.700000,-119.625000,-90.000000,top
"C304","100n","C_0603_1608Metric",163.100000,-118.675000,-90.000000,top
"D201","1N5819WS","D_SOD-323",135.950000,-108.200000,90.000000,top
"D202","1N5819WS","D_SOD-323",148.450000,-91.250000,180.000000,top
"D203","SM4007","D_SOD-123F",151.850000,-79.500000,0.000000,top
"HS201","23mm x 40mm x 16mm","Heatsink_TO220_23mmX40mm",169.150000,-99.990000,-90.000000,top
"J301","Conn_01x07","Molex_PicoBlade_53048-0710_1x07_P1.25mm_Horizontal",182.750000,-81.700000,180.000000,top
"J302","Conn_01x05","Molex_PicoBlade_53048-0510_1x05_P1.25mm_Horizontal",167.125000,-119.300000,0.000000,top
"J303","Conn_01x06","Molex_PicoBlade_53048-0610_1x06_P1.25mm_Horizontal",176.500000,-119.300000,0.000000,top
"R201","10k","R_0603_1608Metric",149.850000,-106.250000,180.000000,top
"R301","47","R_0603_1608Metric",178.175000,-115.900000,0.000000,top
"R302","47","R_0603_1608Metric",175.050000,-115.900000,0.000000,top
"R303","47","R_0603_1608Metric",156.500000,-116.350000,-90.000000,top
"TP201","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",159.000000,-120.000000,0.000000,top
"TP202","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",141.350000,-109.250000,0.000000,top
"U201","L7805","TO-220-3_Horizontal_TabUp",142.240000,-102.535000,90.000000,top
