Designator,Mid X,Mid Y,Layer,Rotation
C203,136.3,-95.1,top,0.0
C204,149.85,-108.3,top,0.0
C207,148.5,-93.5,top,180.0
C301,171.5,-79.6,top,-90.0
C302,165.25,-77.597349,top,-90.0
C303,186.7,-119.625,top,-90.0
C304,163.1,-118.675,top,-90.0
D201,135.95,-108.2,top,90.0
D202,148.45,-91.25,top,180.0
D203,151.85,-79.5,top,0.0
HS201,169.15,-99.99,top,-90.0
J301,182.75,-81.7,top,180.0
J302,167.125,-119.3,top,0.0
J303,176.5,-119.3,top,0.0
R201,149.85,-106.25,top,180.0
R301,178.175,-115.9,top,0.0
R302,175.05,-115.9,top,0.0
R303,156.5,-116.35,top,-90.0
TP201,159.0,-120.0,top,0.0
TP202,141.35,-109.25,top,0.0
U201,142.24,-102.535,top,90.0
